Method,Tier,Accuracy,Precision,Recall,F1,Runtime_s,Energy_J
Classical SVM (RBF),CPU,0.9750,1.0000,0.9500,0.9744,0.007823,0.9857
Random Forest,CPU,0.9970,0.9992,0.9970,0.9981,0.221763,27.9421
Gradient Boosting,CPU,0.9958,0.9985,0.9962,0.9974,0.487127,61.3780
KNN (k=5),CPU,0.9939,0.9992,0.9932,0.9962,1.760079,221.7699
QSVM (ZZ kernel),QPU,0.8750,1.0000,0.5000,0.6667,1.433404,10320.5117
